,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
29,TRQVAPV128F4260B53,0.471,0.896,7,-7.79,0,0.0381,0.00579,0.0011,0.303,0.708,99.384,0mW8oH0PZejrFsaNi1Ud8i
30,TRARJBY128F4260B6C,0.301,0.936,7,-6.823,0,0.0878,0.027,0.26,0.529,0.677,166.507,1DV0f9SWOku3899QQ8ux93
31,TRPVHXH128F4260B7A,0.537,0.882,4,-6.819,0,0.0384,0.00705,0.0184,0.0866,0.816,125.756,3pg4RVmzq9DZcKbWcPl4IX
32,TRDIDXK128F4260B6B,0.595,0.866,9,-6.7,0,0.0587,0.162,1.73e-06,0.17,0.89,124.44,0ZulY8etRzj54NLYOYX7jy
33,TRPRCVG128F4264412,0.491,0.74,9,-6.703,0,0.0336,0.372,0.229,0.187,0.694,131.612,0N897u5L9LpXEvCu6yhRIf
34,TRPYLHE128F4266CB5,0.393,0.822,7,-8.897,1,0.0412,0.00906,0.196,0.136,0.528,154.964,2sT5BZ9rqZonBo1XCNsTn3
35,TRWWXBZ128F92C2C0D,0.255,0.98,9,-9.225,1,0.0848,0.0743,0.961,0.818,0.583,163.542,0CQWFnTrA3skDd4rclUfbY
36,TRSBHPR128F92C2C1D,0.534,0.933,2,-6.786,1,0.0358,0.176,2.61e-06,0.275,0.65,123.057,1lyzM8ksTZShD51uQVt8zW
37,TRXPLQW128F92C2C21,0.155,0.926,9,-6.532,1,0.0668,0.042,0.203,0.978,0.293,171.448,6Zgn4NnioJ7xXU5v0bOUq5
38,TRKGCFY128F92C2C11,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,5QTxFnGygVM4jFQiBovmRo
39,TRNFTSO128F42AF498,0.722,0.705,0,-8.783,1,0.03,0.0853,0.0227,0.181,0.83,124.458,4bSG3maeDHtQMpNBdMr9Dg
40,TRJPKCJ128F42AF492,0.638,0.82,4,-7.666,1,0.0319,0.0741,0.00092,0.192,0.654,118.572,1R99M48WO0DKAm3GzPm6cl
41,TRSQCTM128F42AF494,0.362,0.765,0,-9.337,1,0.0316,0.0225,0.0309,0.416,0.398,97.844,2Qo5Bpb4Chv3KHhQn4dGWl
42,TRGEFJN128F4270A69,0.467,0.923,11,-7.083,0,0.0489,0.0283,0.00457,0.138,0.604,96.087,3NSuvfVI6lCAwjwB8zDSG5
43,TRZFQKK128F425EAFD,0.398,0.827,2,-8.176,1,0.0403,0.0997,0.0258,0.158,0.804,168.744,3VH9PB4maOkYsS1KKXDBb1
44,TRSJONL128F425EB03,0.453,0.722,4,-10.402,1,0.0414,0.0578,5.02e-05,0.623,0.483,122.35,1mdCMtqG1ClCJfJDbJwFox
45,TRSDKPI128F425EAF0,0.342,0.638,2,-8.019,0,0.0275,0.0195,0.00261,0.401,0.371,91.791,1Zd5KxenhiRD0OpIf9Dfmh
46,TRAWTJG128F42725A1,0.342,0.709,7,-10.439,1,0.0424,0.0153,0.0971,0.38,0.494,160.542,4Nyx3c0IPFITNo42yodlrh
47,TRRTGZK128F426907C,0.572,0.737,9,-9.997,1,0.0626,0.0167,0.000173,0.283,0.619,124.603,4bt6gXyCSJgcNJjSRSIGb1
48,TRZAKUT128F426900C,0.425,0.76,8,-8.529,1,0.0413,0.247,2.29e-05,0.0936,0.485,156.362,6rOeRjwFiafPC2ABkrbbSz
49,TRIGLTY128F42AA17F,0.298,0.581,4,-8.133,0,0.0289,0.381,0.0224,0.172,0.26,89.285,2g02rt0UFudctbAnmJsm22
50,TRDSHXR128F42AA165,0.556,0.702,4,-9.66,1,0.0278,0.0275,0.024,0.149,0.611,145.31,1IYjr8q6ZmRxVlTVtBTvQn
51,TRDXVWB128F42AA169,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,3fkPMWQ6cBNBLuFcPyMS8s
52,TRBXLIP128F4277241,0.218,0.923,9,-8.118,1,0.0678,0.0233,0.00156,0.464,0.384,161.937,2w5MuKgxcwhCCJcgcGHDh9
53,TRFQQJI128F4270045,0.296,0.7,7,-10.38,1,0.049,0.0127,0.000101,0.0577,0.345,167.595,1BKoilGgL2OgmPKcYQ27vQ
54,TRTJETF128F4270208,0.538,0.851,8,-7.793,1,0.0643,0.0108,1.82e-05,0.325,0.66,117.359,6zdMlZyo0XyRNclXyQvVAl
55,TRJXZZM128F426E384,0.357,0.788,9,-7.313,1,0.0569,0.135,0.0711,0.0923,0.328,133.74,6YDNwLKXsaHgn7SQzcOiJ3
56,TRYNPBH128F426E381,0.585,0.849,7,-5.796,1,0.0386,0.0552,0.000539,0.146,0.685,131.748,1hNIb1XdqTfcanT6yr9l4k
57,TRURTQU128EF362530,0.834,0.417,1,-12.137,1,0.178,0.00423,0.00856,0.217,0.345,90.41,3wL1NZ2A7iMVzqgsxVpXst
58,TRVJGCX128EF362544,0.795,0.5,10,-11.442,0,0.239,0.0613,1.93e-05,0.101,0.541,98.209,3Cv1pFp7YxHnUKz7Fe7TFZ
59,TRKMQDN128EF362533,0.855,0.658,1,-9.203,1,0.221,0.0231,0,0.339,0.57,91.948,7uysLKBXg8VFj6EbwkDyzu
60,TRMUUDG128EF362238,0.727,0.419,7,-15.57,1,0.183,0.00907,0.000367,0.108,0.515,179.894,3ttQAniwbmcjoJJLoNaEXD
61,TRCDJNG128EF362234,0.88,0.464,6,-17.216,1,0.164,0.102,0,0.0511,0.808,90.378,3OSy8YPqONuNRUhwr4rASp
62,TREELXZ128EF36221D,0.878,0.769,7,-13.783,1,0.0963,0.0498,0.000342,0.291,0.481,94.402,5bqva6S4FCDYXjsNZ1s6w1
63,TRRJLOP128F9309BE6,0.86,0.775,10,-5.062,0,0.159,0.00524,6.02e-05,0.0485,0.517,125.997,5HYDTvYTZzBulnw7FLl3rk
64,TRWXZEP128F92E685C,0.644,0.819,9,-4.444,1,0.046,0.111,0,0.116,0.7,140.022,45bHK5dR8PeWcuMJqmpsP1
65,TRRXICZ128F92E6862,0.508,0.717,8,-5.095,1,0.0457,0.00796,6.15e-05,0.0971,0.462,158.05,03kCR9HZpX5muU7D8xYPOL
66,TRLPGSW128F92E6856,0.647,0.718,0,-4.161,1,0.0298,0.202,0,0.157,0.706,132.93,3kfHdr2sYF2EeWEmBHquVj
67,TRSHVFG128F92E6860,0.421,0.312,5,-10.859,0,0.035,0.855,0.000121,0.705,0.194,144.929,4Yxf6ypKoaYcnzRjjQXJ3h
68,TRSAEJU128F92E685A,0.647,0.88,0,-3.594,0,0.0381,0.0555,0,0.0919,0.786,104.99,3cqJzS1U23zElTJyXcacm6
69,TRFZPOL128F92C47AB,0.396,0.811,2,-4.95,1,0.0465,0.338,0,0.114,0.262,87.703,2TXZTIEk67pURmzvQVu84I
70,TRQMCDE128F425AF94,0.513,0.575,6,-5.254,1,0.0311,0.185,1.3e-06,0.111,0.29,129.908,2t3b5MZMzsArvQflOUo804
71,TRTVXIH128F426625A,0.338,0.819,0,-4.495,0,0.0777,0.0784,0,0.159,0.545,74.756,0jkVXytWSisMUtrBEej9mi
72,TRUAPRW128F4266272,0.592,0.856,10,-4.139,0,0.0303,0.0835,0,0.0996,0.55,132.109,1q8eyTNRSGEAqSvTATTgIG
73,TRUURMN128F4266275,0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.232,168.653,4oa14QBfWRDfJy2agySy0L
74,TRESTLJ128F426624E,0.629,0.603,1,-5.85,1,0.0305,0.00881,0,0.182,0.6,80.051,1NcGrbn2dbx6VQOPQeKhjl
75,TRCUKHR128F92DF656,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.052,4E6cwWJWZw2zWf7VFbH7wf
76,TRXHUTH128F92E3DDB,0.354,0.14,1,-14.136,1,0.0464,0.962,2.9e-05,0.176,0.194,81.108,1KDkSCXJIR4CJaVUK9qP7O
77,TRVGPHP12903CC8D8E,0.626,0.42,5,-11.815,1,0.0408,0.647,0,0.0926,0.443,140.998,4FgHURAh8kHbMCQJJ37Etc
78,TROSHRP128F42724C3,0.592,0.397,10,-13.081,0,0.0386,0.249,2.22e-05,0.181,0.5,116.975,5Gq34gaqQMzGWQ2dw4L3O7
79,TRVXRVY128F42722EA,0.643,0.862,0,-7.009,0,0.0461,0.0557,6.42e-05,0.23,0.928,127.602,7IoKA8yRibsK8Ryy4SH2NL
80,TRDMCIO128F427252B,0.584,0.759,7,-7.375,1,0.0917,0.445,5.27e-06,0.166,0.748,141.082,6LhXQZ3tyooLASS2yJa5oe
81,TRFXXFP128F92D0E28,0.623,0.409,7,-10.802,1,0.0357,0.611,2.54e-06,0.2,0.613,74.75,01teVPgKyIFdbqo65UahOX
82,TROSHDP128F92D0E95,0.473,0.411,7,-12.122,0,0.0684,0.299,0,0.136,0.54,177.413,6NucCzQBqeS9dDXtWNPjCM
83,TRYUQYF128F4270023,0.726,0.88,5,-6.361,0,0.104,0.212,0.000143,0.838,0.606,118.439,0n6uM7ROPCJclrmJ0v4mJF
84,TRRURAF128F14621E3,0.465,0.704,9,-6.92,1,0.0325,0.14,0,0.0924,0.716,71.455,0TXJsLvFt6yEFTqj7aI4Mm
85,TRDIAFP128F92D9B5E,0.377,0.564,11,-10.276,0,0.0383,0.000191,0.00043,0.37,0.251,120.046,2wUtmXVs04KlN2afnD763W
86,TRPHCDO128F9331603,0.664,0.826,9,-5.826,0,0.0287,0.104,0,0.0709,0.838,130.303,7gSykvKFRRJvEY6giVbWnT
87,TRHMDYA128F42BAD0F,0.326,0.905,4,-5.166,1,0.105,0.0108,6.43e-05,0.356,0.536,143.068,5jMHry5jms3yMUGtTxvW37
88,TRQQYJM128F42BAD02,0.402,0.736,5,-7.423,0,0.0429,0.0151,0,0.115,0.493,144.786,5sZQWrr0uKJvhE7KV7wWvH
89,TRZCMCE128F42BAD03,0.496,0.832,6,-7.18,0,0.0301,0.00153,0.00021,0.0638,0.811,127.03,4K9eDGPHzxNUP8Gzoh7ion
90,TRNAYNO128F42BAD09,0.21,0.914,7,-6.351,1,0.0658,0.000754,0.000197,0.0706,0.268,146.181,7fhOXu7SaGP2nB8pbp8lUb
91,TRPOKSA128F42BAD0A,0.39,0.792,7,-6.64,1,0.0539,0.136,9.51e-06,0.305,0.353,125.58,1apNbtWgqdF5iHDaryZBfK
92,TRJNDET128F92D26E2,0.374,0.81,11,-5.695,0,0.0348,0.261,0.000765,0.379,0.612,129.765,6A1dxMUPCfGpfwmoilNVgz
93,TRHWUFJ128F428B143,0.515,0.687,4,-6.41,1,0.0502,0.321,0.0404,0.277,0.471,120.294,3jd5klcosauGyZ7qMIKTcS
94,TRHTMDX128F428B142,0.336,0.955,11,-5.11,0,0.079,0.00958,0.000178,0.0593,0.384,142.296,5yqGZB0SxCcgGfi8x32DHw
95,TROHLBV128F92C53BA,0.458,0.346,4,-10.641,1,0.0244,0.236,0.183,0.101,0.354,80.791,5UywhLHinqCQjDfUYWhp6e
96,TRHQCXF128F92DF8EB,0.249,0.848,8,-4.522,1,0.0499,0.00454,0,0.0494,0.396,131.157,4jodhG9zVJMXQNhwWtZR5A
97,TRBPETA128F92FDDA6,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695,4BFMQ15vXr626UOoZL8bUI
98,TRMQUHE128F9335B80,0.678,0.238,7,-14.497,1,0.0622,0.896,0.0938,0.34,0.431,97.827,1n2RZzTisJgK1DL1zr9qjU
99,TRGLPHZ128F9335B81,0.78,0.0662,10,-22.035,1,0.0373,0.933,0.0129,0.124,0.68,107.961,0NEa6TRxokXZ2cdB137TJ6
100,TRQSPYV12903CCF4C8,0.402,0.473,10,-11.537,1,0.047,0.0393,0.000381,0.138,0.71,79.528,3pjE2gKnEdM2G691y20wNb
101,TRECJRS12903CE0516,0.571,0.29,8,-13.073,1,0.0278,0.738,0.00331,0.103,0.527,101.281,650xanGN1IqVgIVt9XR8Mw
102,TRFFZVN12903CA0424,0.735,0.252,7,-15.293,1,0.0934,0.00404,1.75e-05,0.0951,0.649,100.643,6L4gJcMMvkofUoRhB0cbnz
103,TRDUVWL128F92EB84C,0.68,0.341,11,-14.807,1,0.0509,0.718,0,0.185,0.683,126.88,0QfcjRwI2lOLDa3TR6p5bU
104,TRQOESD12903CA099A,0.786,0.262,5,-15.396,1,0.132,0.487,0.0545,0.104,0.902,139.882,72KXKD7XAPrmMxjKVSGJF5
105,TRQUXGC128F92D6246,0.786,0.187,10,-17.246,1,0.0614,0.631,0.00713,0.106,0.813,99.002,27jZJ8GbAJbjhBw9TGEhJV
106,TRPHUFC128F92D623C,0.533,0.192,6,-17.683,1,0.0297,0.505,0.0201,0.285,0.628,67.228,4XVSe39VvpGhmwk59UNaSY
107,TRHVMCJ128F9304DDE,0.713,0.424,6,-12.601,1,0.137,0.778,0,0.0895,0.882,91.985,1myaoy45obyN6dC4LPpVik
108,TRPQAYK128F9304DE4,0.547,0.171,8,-13.923,1,0.0307,0.909,0.539,0.104,0.488,94.94,2Qz42q9uKz38Tl5lexzsjL
109,TRIFPBT12903C945C2,0.449,0.195,3,-15.197,1,0.0341,0.946,0.0484,0.119,0.302,80.573,3597XbK7cHfyEBHrmbkujE
110,TRXYJQF128F1486A19,0.533,0.495,5,-8.116,1,0.0302,0.0664,0,0.177,0.861,133.463,2yxdegZsNpypnryX5J0qR8
111,TRMVLBT128EF35709B,0.716,0.762,11,-12.304,0,0.0457,0.0761,2.26e-05,0.0806,0.957,115.121,6Fj36toK6ky8HhyZdVTsce
112,TRJKIWX128F92CFE46,0.811,0.624,3,-13.971,0,0.0506,0.0255,0.0245,0.055,0.95,124.014,7KDjMG5gdviJQ1ibi8DRj1
113,TRDPELC128F92CFE45,0.68,0.746,9,-4.503,1,0.0485,0.445,8.45e-06,0.213,0.806,174.964,4OmTWAei8TgszxFdiW6FTt
114,TRHMIPT12903CBCF15,0.667,0.305,8,-16.959,1,0.031,0.372,0.0477,0.0706,0.533,135.979,0jAwtDKIH4W29dWDbAMLEV
115,TRCUIDZ128F4265E53,0.689,0.87,1,-10.302,0,0.0553,0.181,0.00126,0.435,0.964,135.515,0W2Xfl0t9JojDut31fFvs1
116,TRSDODP128F4265A80,0.602,0.366,11,-17.429,0,0.114,0.85,0.0178,0.081,0.625,123.261,6ebCSOxPgAvCfvmSJW5lRs
117,TRGNVVN128F4261DBC,0.77,0.757,1,-15.938,1,0.0708,0.000252,0.839,0.0829,0.518,140.775,1lrxe6fhakO7DtDjYT8vFb
118,TRGOAGQ128F4265298,0.727,0.855,10,-11.759,1,0.0312,0.0538,7.59e-05,0.224,0.603,119.592,3qTZsmSnM4th5AxwsgrRVm
119,TRIAMWQ128F42652E4,0.69,0.784,0,-12.536,1,0.0388,0.134,0.00013,0.0909,0.648,140.353,5AjqtGmGMAheLjbgYbPNmT
120,TRPHZPY128F42652A6,0.75,0.7,0,-12.18,1,0.0432,0.232,0.00441,0.256,0.917,102.115,6c8Om05CmT6ekZkx3a9oJY
121,TREZHRL128F42651AA,0.798,0.725,10,-15.651,0,0.0609,0.0222,0.00698,0.141,0.738,110.015,177c9HsQOHx8tZ6JytS7HD
122,TRELMVA128F4265241,0.831,0.434,11,-16.347,0,0.0645,0.121,5.53e-06,0.123,0.821,124.284,69rf2hN2CffFNxGviOu61S
123,TRSVZSP128F4265200,0.658,0.861,1,-10.35,1,0.0323,0.00271,3.59e-06,0.242,0.643,123.936,7rK7VTmX6FuB3VvsMI665O
124,TRXDZNG128F426527B,0.717,0.48,0,-17.342,1,0.0413,0.00375,0.112,0.0719,0.977,114.166,7ip1qwjP3r9lyoRtGa1J6u
125,TRBFUPH128F426310A,0.719,0.794,9,-12.604,0,0.0373,0.0069,0.00539,0.0333,0.758,122.064,31lBymU0MdK0CsCvlgclsr
126,TRZEFLM128F4261EFA,0.749,0.778,11,-8.19,1,0.0546,0.152,6.27e-05,0.31,0.583,152.612,5S4n5romJuuu8QNLqSTFwh
127,TRNJMZP128F4261EFB,0.791,0.768,9,-9.348,1,0.0957,0.137,3.85e-06,0.307,0.722,124.077,4gTMIyJJlSuB5BOhbMri6B
128,TRPVMVJ128F4262BFC,0.917,0.603,2,-9.541,1,0.13,0.172,0,0.0489,0.696,113.951,26UgQ719aQ39QAHytxPuVJ
129,TRJSZFP128F4264CC3,0.741,0.755,10,-13.413,0,0.0398,0.0521,0.000245,0.329,0.879,126.38,2zrWkcgscVHyPNfZEOk23z
130,TROBEBK128F4263A14,0.483,0.607,2,-11.161,1,0.0294,3.64e-05,2.65e-05,0.186,0.652,139.02,0JDuZMCnSlS2bDBxmP5NE7
131,TRYQWOT128F4262BFE,0.675,0.861,2,-7.437,1,0.0342,0.0176,1.6e-06,0.251,0.812,127.399,0cVmDLQhPOa56j4YkV7GEz
132,TRYKKZB128F4264CB7,0.704,0.804,10,-8.554,0,0.0596,0.0508,0.000398,0.543,0.958,114.604,6Huf5x2fNfgPLTIIi8YSdp
133,TRQMVDB128F427B8A8,0.514,0.827,2,-3.964,1,0.0586,0.000347,2.39e-05,0.0914,0.351,106.437,7eTLKVv6up6RP5egrjRJ1Q
134,TRLPFRQ128F427B8B5,0.47,0.702,11,-4.513,1,0.0253,0.0545,0,0.168,0.547,180.124,6nnyjMeH7fbK9oJ24VqnLD
135,TRWJGEM128F9303B7D,0.675,0.805,6,-8.715,1,0.0501,0.0139,0.00532,0.0874,0.924,94.7,5h1vdmA3hAX0WQfLBI1DlN
136,TRIJGKH128F9303B76,0.782,0.38,11,-17.183,0,0.0363,0.0525,0,0.127,0.869,134.072,45PxL9PEi3AogpOyegTts8
137,TRLEACG128F9303B7B,0.533,0.882,7,-7.592,1,0.0307,0.0713,1.46e-05,0.372,0.806,138.191,1FTBdkplVQGHcxCyfT6vTk
138,TRWEKAA12903CB136B,0.721,0.782,2,-9.723,0,0.0529,0.716,0,0.204,0.844,129.975,52WaKEZpbiD6aBkmENlj6x
139,TRFWNTW12903CB136D,0.682,0.709,7,-15.446,1,0.04,0.0347,0.00823,0.0526,0.674,117.023,5GWe84X1PPPoRsmCPNZb7j
140,TRFWDRA128F426309C,0.782,0.82,9,-12.585,1,0.0848,0.259,0,0.314,0.776,130.041,61vY5whxNABNXcci7VKt4q
141,TRPPZEV128F4261E2B,0.76,0.627,2,-13.821,1,0.0531,0.0135,0.000216,0.336,0.748,119.09,6g1ZJz6a2zQGMvDfYoTr0J
142,TRPEAHM12903CB1351,0.797,0.673,11,-9.632,0,0.0419,0.563,0,0.0967,0.796,118.21,4ArtWWANopFCYP9HO1eOUg
143,TRPYLAA12903CB1379,0.759,0.681,2,-14.492,1,0.0903,0.0356,5.82e-06,0.325,0.194,97.817,5QE8LUEaYPWl52MaOptorg
144,TRUPSDS12903CB1374,0.794,0.621,4,-13.126,0,0.0426,0.168,7.4e-06,0.0984,0.795,120.022,31x28AXEuz9rH3xlQmfiZc
145,TRKAEIH128F4261E29,0.831,0.489,7,-15.029,1,0.139,0.117,0,0.0927,0.868,100.01,2n1AZ9cbO5IUykKSasDlmx
146,TRPSNKM128F427B000,0.455,0.0912,4,-15.741,0,0.0342,0.961,0.058,0.108,0.05,105.839,0gtvSV7JhXljqtXOCMMflC
147,TRIMGYM128E07848C0,0.463,0.587,9,-6.91,1,0.0274,0.233,0,0.145,0.676,97.143,2YY3lajmdW7oKBHR1heeK1
148,TRREEIY128F42AA13A,0.668,0.393,10,-14.627,0,0.0444,0.284,0.000571,0.0861,0.605,83.552,1YbKYtaoHlma6jRoP76olM
149,TRBUYHG128F42AA146,0.411,0.136,8,-16.351,1,0.0375,0.957,0.000774,0.0885,0.201,80.278,6uJWRgcR09rWD7WhG4Wtbx
150,TRWNERF12903CCB287,0.661,0.753,5,-7.339,1,0.0264,0.369,0.0568,0.0394,0.687,120.286,5czOaqnkRpBy9HjhK1gYkr
151,TRYDUCA12903CCB282,0.775,0.509,4,-11.356,0,0.0392,0.553,0.0247,0.0768,0.709,99.972,3kEA66ZM9mCxwhynOxgsLh
152,TRZATLL12903CCB2B9,0.752,0.549,11,-10.532,0,0.0328,0.295,0.115,0.0582,0.658,105.126,4QT3YKobBj4BI7xCYRLr9u
153,TRQUVBJ12903CCB2E9,0.715,0.491,5,-11.573,0,0.0342,0.517,0.0561,0.0507,0.798,85.576,16vObRGAKtbmSLybpEbnch
154,TRQVQJO12903CCB2F7,0.821,0.347,7,-13.7,1,0.0333,0.174,0.00122,0.282,0.562,105.125,6iVqWytyt9uurpc462mv20
155,TRGWPQM12903CCB309,0.777,0.566,2,-11.514,0,0.0315,0.474,0.0059,0.0539,0.812,112.112,0xWRZHmgpe4iGNnxV96xZj
156,TRRIZBV12903CCB303,0.698,0.432,2,-17.31,1,0.0375,0.297,0.00762,0.0485,0.679,110.129,1EOlxJCq3fXCIvqWJm1xrO
157,TRVOZKR128F425BEA6,0.669,0.395,9,-13.521,0,0.0489,0.645,0,0.125,0.712,92.258,0kACGuWYmoXF3wt9RZjj9f
158,TRLPUOB128F4270A35,0.712,0.757,2,-10.045,1,0.0352,0.0543,0.000405,0.201,0.729,120.165,0QX4u1gl2VZ6HKShy7BWEn
159,TRTJJDU128F93369CE,0.62,0.54,4,-14.636,0,0.0422,0.349,2.53e-05,0.187,0.759,118.823,20zOIoex7YchUh87d8tlvg
160,TRLCNHJ128F92FE562,0.834,0.362,4,-15.16,1,0.0367,0.00873,0.0654,0.0815,0.852,113.361,2LEyK9u1XRf1IzAqDRdeBo
161,TREZKGP128F4267890,0.703,0.494,2,-14.789,1,0.0535,0.117,0,0.557,0.676,96.946,5fR3MHtRauZ3TCgCKuNLZi
162,TRMWWZJ128F14612A3,0.798,0.422,10,-11.282,0,0.269,0.108,0.00219,0.0449,0.634,144.918,3Hl76BH267s2CsjsQ3VxMk
163,TRTSGEX128F146129B,0.711,0.478,4,-9.364,0,0.118,0.345,0.152,0.0715,0.954,149.566,5kSG1TK1Mpo0GuuAA8ap9y
164,TREOKFT128F146129A,0.667,0.531,7,-7.83,1,0.145,0.594,0.00309,0.047,0.965,153.084,0VlY6K0THEYoHSuGB1dHAs
165,TRVKALZ128F146129F,0.796,0.537,1,-9.814,1,0.0538,0.0484,0.0187,0.084,0.777,136.495,3SWgbHLi96uE0moYUQDku3
166,TRXLWVH128F146129C,0.777,0.517,4,-10.633,1,0.0606,0.196,0.298,0.152,0.96,78.357,4QcYPg7jfKSnhiroHd51hC
167,TRGMFYG128C71965CF,0.748,0.486,1,-14.177,1,0.163,0.0617,0.0129,0.0614,0.721,143.577,3m9HLB5qmnQHeHmELngF5g
168,TRHLZKD128C71965C6,0.747,0.358,4,-14.296,1,0.163,0.0281,0.0157,0.0692,0.719,130.624,0ofjrzcWu1bUIjVirmW4ck
169,TRHEDDS128C71965DE,0.716,0.543,0,-9.873,0,0.157,0.119,0.002,0.0727,0.88,151.497,3tPOw5pq03DsgFhVxyrxhm
